id,inning,over_no,average_runs_per_over
19,2,10,0.1667
19,2,11,0.1667
19,2,12,0.6667
19,2,13,2.1667
19,2,14,0.6667
19,2,15,2.8571
19,2,16,3.5000
19,2,17,1.1667
19,2,18,2.0000
19,2,19,0.7143
19,2,20,0.8333
20,1,1,1.3333
20,1,2,0.8333
20,1,3,2.0000
20,1,4,1.3333
20,1,5,0.5000
20,1,6,1.5000
20,1,7,1.5000
20,1,8,3.5000
20,1,9,1.3333
20,1,10,1.5000
20,1,11,2.4286
20,1,12,1.4286
20,1,13,1.0000
20,1,14,1.6667
20,1,15,2.5714
20,1,16,1.1667
20,1,17,1.0000
20,1,18,2.0000
20,1,19,3.0000
20,1,20,2.8333
20,2,1,0.1667
20,2,2,0.5000
20,2,3,3.1667
20,2,4,2.0000
20,2,5,1.8333
20,2,6,1.5000
20,2,7,1.2500
20,2,8,1.8333
20,2,9,2.4286
20,2,10,1.1429
20,2,11,0.5000
20,2,12,0.1667
20,2,13,2.3333
20,2,14,2.1667
20,2,15,0.8333
20,2,16,1.1667
20,2,17,1.6667
20,2,18,1.8333
20,2,19,3.0000
20,2,20,0.6667
21,1,1,1.4286
21,1,2,0.3333
21,1,3,1.0000
21,1,4,1.6667
21,1,5,0.5000
21,1,6,1.3333
21,1,7,2.2857
21,1,8,1.5000
21,1,9,1.5000
21,1,10,1.1667
21,1,11,1.8333
21,1,12,1.1667
21,1,13,1.4286
21,1,14,3.1667
21,1,15,1.3333
21,1,16,2.1667
21,1,17,1.6667
21,1,18,2.0000
21,1,19,0.6667
21,1,20,2.8333
21,2,1,0.3333
21,2,2,2.1667
21,2,3,1.5000
21,2,4,1.3333
21,2,5,2.5000
21,2,6,1.5000
21,2,7,0.8333
21,2,8,2.0000
21,2,9,0.8333
21,2,10,1.1667
21,2,11,0.5000
21,2,12,0.8333
21,2,13,1.6667
21,2,14,1.0000
21,2,15,2.6667
21,2,16,1.3333
21,2,17,1.4286
21,2,18,2.1667
21,2,19,1.6667
21,2,20,1.3333
22,1,1,1.3333
22,1,2,1.1667
22,1,3,1.8333
22,1,4,1.0000
22,1,5,1.1667
22,1,6,1.1667
22,1,7,1.0000
22,1,8,1.0000
22,1,9,0.8333
22,1,10,1.0000
22,1,11,1.5714
22,1,12,1.8333
22,1,13,1.2857
22,1,14,1.8333
22,1,15,4.0000
22,1,16,3.1429
22,1,17,0.6667
22,1,18,0.8333
22,1,19,1.2500
22,1,20,2.5714
22,2,1,1.4286
22,2,2,1.8333
22,2,3,2.1667
22,2,4,2.8333
22,2,5,2.8333
22,2,6,2.0000
22,2,7,0.8333
22,2,8,2.3333
22,2,9,2.2857
22,2,10,1.0000
22,2,11,1.8333
22,2,12,2.6667
22,2,13,2.2857
22,2,14,0.5714
22,2,15,3.5000
22,2,16,2.6667
23,1,1,2.0000
23,1,2,2.8333
23,1,3,2.5000
23,1,4,0.5000
23,1,5,1.6667
23,1,6,1.3333
23,1,7,1.0000
23,1,8,0.8571
23,1,9,1.8333
23,1,10,1.3333
23,1,11,2.1667
23,1,12,1.1667
23,1,13,1.0000
23,1,14,1.6667
23,1,15,1.5000
23,1,16,1.3333
23,1,17,0.8333
23,1,18,2.3333
23,1,19,2.0000
23,1,20,1.1667
23,2,1,1.5000
23,2,2,2.6667
23,2,3,2.5000
23,2,4,2.2857
23,2,5,1.0000
23,2,6,1.6667
23,2,7,1.1667
23,2,8,0.6667
23,2,9,2.1667
23,2,10,0.5000
23,2,11,1.8333
23,2,12,1.5000
